fraud_bool,income,name_email_similarity,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,month
0,0.1,0.069597517878203,48.0,30,0.0067598361031446,-1.074674063513295,AB,3483,5316.09293177558,4527.956243225161,4730.638776195588,680,15,CA,20.0,0,BB,0,1,0,200.0,0,INTERNET,5.1917729132851616,windows,1,1.0,4
0,0.9,0.8917411567103293,61.0,20,0.0206420671453376,-1.043444110718934,AD,2849,8153.67142856477,7524.130278109134,5341.758189596994,13,14,CA,3.0,1,BC,0,1,1,200.0,0,INTERNET,3.9016732637279015,windows,0,1.0,1
0,0.6000000000000001,0.3709326472434643,70.0,30,6.400792928766532,48.52019916612453,AA,406,7648.434993061031,6366.061338406511,5431.786246260695,2,29,CA,50.0,1,BC,0,1,0,200.0,0,INTERNET,3.7771914044568105,linux,0,1.0,1
0,0.9,0.4011371944361989,64.0,30,0.0046509829666614,-0.3945883396952789,AC,780,6459.224178958455,3394.524378863903,4248.230609147509,2,4,CA,74.0,1,BC,0,1,0,200.0,0,INTERNET,3.1762694601288226,linux,1,1.0,5
0,0.6000000000000001,0.7200062853588645,11.0,20,0.0326292108836387,-0.4877852601199521,AC,4527,7852.258962095248,5177.826213454007,5942.104900951591,0,14,CA,136.0,0,BB,0,1,0,200.0,0,INTERNET,14.62687363024481,linux,0,1.0,0
0,0.4,0.2411643668056312,6.0,20,0.0048580783863905,-1.4590990446604453,AC,1434,7137.757647255983,5824.633217482829,4889.328288628482,32,2,CC,144.0,1,BC,1,1,1,500.0,0,INTERNET,6.753515388202965,windows,0,1.0,3
0,0.1,0.2514335718121763,43.0,30,0.0109607905882235,-0.3720049050809136,AC,1193,6715.69723321797,6676.183591325566,5094.212421934793,1,16,CA,197.0,1,BC,0,1,0,990.0,0,INTERNET,59.10563414812334,windows,0,1.0,2
0,0.9,0.1446507880247533,18.0,40,8.025849085324426,49.02057728889604,AA,2973,2895.195136980353,5034.488105569516,3652.937079846801,28,13,CA,80.0,1,BC,0,1,1,200.0,0,INTERNET,0.7998749720820038,other,1,1.0,1
0,0.9,0.5100975104096496,16.0,30,0.015267509376088,52.18044919532612,AA,1689,9992.964663339952,6759.553691724619,5903.3474409834425,1,14,CA,139.0,0,BC,0,1,0,500.0,0,INTERNET,2.577194687147004,other,1,1.0,0
0,0.3,0.3289036016022843,186.0,50,0.0085310116591429,-0.3403394348541702,AC,4958,10069.75024911897,7236.597521983343,5579.380804831872,0,14,CA,137.0,0,BB,0,1,0,1500.0,0,INTERNET,35.21288849969797,other,0,1.0,2
0,0.4,0.9958358867620064,18.0,20,0.0038414463695016,-1.1706522542472957,AB,2475,846.3273068983227,5332.06401097757,4284.508985454959,8,10,CE,212.0,0,BA,0,1,0,1500.0,0,INTERNET,2.989648550047733,windows,0,1.0,6
0,0.8,0.3726619542743447,29.0,20,0.0270664011596458,-1.2508995237221832,AB,803,9591.672130049688,5089.745087102133,5047.114097204491,1,6,CA,129.0,0,BB,0,1,0,200.0,0,INTERNET,1.1091897078498676,other,1,1.0,4
